,websitelink,timestamp
0,http://wayback.archive-it.org/all/20220804053118/http://bit.ly,20220804053118
1,https://web.archive.org/web/20220803235453/http://bit.ly,20220803235453
2,https://web.archive.org/web/20220802233948/https://bit.ly,20220802233948
3,https://web.archive.org/web/20220801232043/http://bit.ly,20220801232043
4,https://web.archive.org/web/20220731232559/http://bit.ly,20220731232559
5,http://wayback.archive-it.org/all/20220730230545/http://bit.ly,20220730230545
6,http://wayback.archive-it.org/all/20220729235613/http://bit.ly,20220729235613
7,https://web.archive.org/web/20220728235754/http://bit.ly,20220728235754
8,https://web.archive.org/web/20220727232858/http://bit.ly,20220727232858
9,https://web.archive.org/web/20220726230305/http://bit.ly,20220726230305
10,https://web.archive.org/web/20220725220740/http://bit.ly,20220725220740
11,https://web.archive.org/web/20220724235639/http://bit.ly,20220724235639
12,https://web.archive.org/web/20220723234616/http://bit.ly,20220723234616
13,https://web.archive.org/web/20220722234755/http://bit.ly,20220722234755
14,https://web.archive.org/web/20220721233822/http://bit.ly,20220721233822
15,https://web.archive.org/web/20220720231616/http://bit.ly,20220720231616
16,http://wayback.archive-it.org/all/20220719222634/http://bit.ly,20220719222634
17,http://wayback.archive-it.org/all/20220718231731/http://bit.ly,20220718231731
18,https://web.archive.org/web/20220717235239/http://bit.ly,20220717235239
19,https://web.archive.org/web/20220716232007/http://bit.ly,20220716232007
